movieId,title,genres
7727,Protocol (1984),Comedy
7728,Postman Always Rings Twice, The (1946),Crime|Drama|Film-Noir|Thriller
7730,Matinee (1993),Comedy|Drama
7742,Baxter (1989),Drama|Horror
7743,Explorers (1985),Adventure|Children|Sci-Fi
7745,Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993),Drama
7748,Pierrot le fou (1965),Crime|Drama
7749,Weekend (a.k.a. Le Week-end) (Week End) (1967),Drama
7753,Tuesdays with Morrie (1999),Drama
7756,Alexander Nevsky (Aleksandr Nevskiy) (1938),Action|Drama|War
7757,Jason and the Argonauts (1963),Action|Adventure|Fantasy
7762,Tinker, Tailor, Soldier, Spy (1979),Drama|Thriller
7766,Throne of Blood (Kumonosu jô) (1957),Action|Drama|Thriller|War
7767,Best of Youth, The (La meglio gioventù) (2003),Drama
7772,Undercurrent (1946),Film-Noir|Thriller
7773,Bang, Bang, You're Dead (2002),Drama
7781,Twister (1990),Comedy
7782,Sniper (1993),Action|Drama
7786,Genghis Blues (1999),Documentary
7789,11'09"01 - September 11 (2002),Drama
7792,Parallax View, The (1974),Thriller
7802,Warriors, The (1979),Action|Adventure|Crime|Thriller
7810,Babylon 5: A Call to Arms (1999),Adventure|Sci-Fi
7811,Babylon 5: The River of Souls (1998),Drama|Sci-Fi
7812,Babylon 5: Thirdspace (1998),Drama|Sci-Fi
7815,True Stories (1986),Comedy|Musical
7820,Virgin Spring, The (Jungfrukällan) (1960),Crime|Drama
7822,Mogambo (1953),Adventure|Drama|Romance
7826,Secret Life of Walter Mitty, The (1947),Comedy|Romance|Thriller
7831,Another Thin Man (1939),Comedy|Crime|Drama|Mystery|Romance
7832,Thin Man Goes Home, The (1945),Comedy|Crime|Mystery
7833,Shadow of the Thin Man (1941),Comedy|Crime|Mystery
7834,After the Thin Man (1936),Comedy|Crime|Mystery|Romance
7835,Song of the Thin Man (1947),Comedy|Crime|Drama|Musical|Mystery|Romance
7839,Love Crazy (1941),Comedy
7840,Gunga Din (1939),Adventure|Comedy|War
7841,Children of Dune (2003),Fantasy|Sci-Fi
7842,Dune (2000),Drama|Fantasy|Sci-Fi
7843,Lammbock (2001),Comedy
7844,Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993),Action|Comedy
7845,Tremors II: Aftershocks (1996),Comedy|Horror|Sci-Fi
7846,Tremors 3: Back to Perfection (2001),Comedy|Horror|Sci-Fi
7879,Notorious C.H.O. (2002),Comedy
7882,The Plague of the Zombies (1966),Horror
7883,I Walked with a Zombie (1943),Drama|Horror
7884,Highway 61 (1991),Comedy
7888,How to Succeed in Business Without Really Trying (1967),Comedy|Musical
7889,Pat Garrett and Billy the Kid (1973),Western
7891,Last Man on Earth, The (Ultimo uomo della Terra, L') (1964),Drama|Horror|Sci-Fi
7894,Duck, You Sucker (1971),Action|Western
7895,Bring Me the Head of Alfredo Garcia (1974),Crime|Drama|Thriller
7896,Ride the High Country (1962),Adventure|Drama|Western
7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action
7900,Frankenstein Must Be Destroyed (1969),Drama|Horror|Sci-Fi
7916,Gidget (1959),Comedy
7920,Desperate Living (1977),Comedy|Crime
7924,Stray Dog (Nora inu) (1949),Drama|Film-Noir|Thriller
7925,Hidden Fortress, The (Kakushi-toride no san-akunin) (1958),Action|Adventure
7926,High and Low (Tengoku to jigoku) (1963),Crime|Drama|Film-Noir|Thriller
7930,People Under the Stairs, The (1991),Horror|Mystery|Thriller
7932,Dark Days (2000),Documentary
7934,Zelig (1983),Comedy
7936,Shame (Skammen) (1968),Drama|War
7937,Silence, The (Tystnaden) (1963),Drama
7938,Winter Light (Nattvardsgästerna) (1963),Drama
7939,Through a Glass Darkly (Såsom i en spegel) (1961),Drama
7940,The Magician (1958),Drama
7943,Killers, The (1946),Crime|Film-Noir
7944,Night of the Iguana, The (1964),Drama|Thriller
7951,Nightbreed (1990),Fantasy|Horror
7976,Ken Park (2002),Drama
7979,Monterey Pop (1968),Documentary|Musical
7980,Bridge Too Far, A (1977),Action|Drama|War
7981,Infernal Affairs (Mou gaan dou) (2002),Crime|Drama|Thriller
7982,Tale of Two Sisters, A (Janghwa, Hongryeon) (2003),Drama|Horror|Mystery|Thriller
7983,Broadway Danny Rose (1984),Comedy
7984,From Beyond (1986),Horror|Sci-Fi
7986,Robot Jox (1990),Sci-Fi
7987,Dolls (1987),Horror
7988,Space Truckers (1996),Comedy|Sci-Fi
7991,Death Race 2000 (1975),Action|Sci-Fi
7993,Bucket Of Blood, A (1959),Comedy|Horror
8008,Brigadoon (1954),Fantasy|Musical|Romance
8010,Power of One, The (1992),Drama
8011,Weather Underground, The (2002),Documentary
8012,Kikujiro (Kikujirô no natsu) (1999),Comedy|Drama
8014,Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003),Drama
8015,Phantom Tollbooth, The (1970),Adventure|Animation|Children|Fantasy
8016,Getaway, The (1972),Action|Crime|Drama|Thriller
8019,Dark Water (Honogurai mizu no soko kara) (2002),Drama|Horror|Mystery|Thriller
8024,Thing Called Love, The (1993),Comedy|Drama|Romance
8025,The Thief (1997),Drama
8033,How to Steal a Million (1966),Comedy|Crime|Romance
